"k","n","Variance","Test","Power","TypeI_Error"
3,6,"Homogeneous","TukeyHSD",0.468006398720256,0.0469906018796241
3,6,"Homogeneous","Scheffe",0.428014397120576,0.0381923615276945
3,6,"Homogeneous","FisherLSD",0.467206558688262,0.0475904819036193
3,6,"Homogeneous","GamesHowell",0.426814637072585,0.0475904819036193
3,6,"Homogeneous","DunnettT3",0.396020795840832,0.0416916616676665
3,6,"Homogeneous","TamhaneT2",0.38252349530094,0.0389922015596881
3,6,"Homogeneous","Sidak",0.437712457508498,0.0407918416316737
3,6,"Moderate","TukeyHSD",0.477804439112178,0.0555888822235553
3,6,"Moderate","Scheffe",0.435412917416517,0.0449910017996401
3,6,"Moderate","FisherLSD",0.475804839032194,0.0554889022195561
3,6,"Moderate","GamesHowell",0.442011597680464,0.0534893021395721
3,6,"Moderate","DunnettT3",0.409818036392721,0.0455908818236353
3,6,"Moderate","TamhaneT2",0.395920815836833,0.0425914817036593
3,6,"Moderate","Sidak",0.445910817836433,0.0472905418916217
3,6,"High","TukeyHSD",0.487602479504099,0.0590881823635273
3,6,"High","Scheffe",0.446010797840432,0.0486902619476105
3,6,"High","FisherLSD",0.483103379324135,0.0595880823835233
3,6,"High","GamesHowell",0.447710457908418,0.0498900219956009
3,6,"High","DunnettT3",0.415816836632673,0.0419916016796641
3,6,"High","TamhaneT2",0.398320335932813,0.0390921815636873
3,6,"High","Sidak",0.455308938212358,0.0517896420715857
3,8,"Homogeneous","TukeyHSD",0.628074385122975,0.0506898620275945
3,8,"Homogeneous","Scheffe",0.584483103379324,0.0401919616076785
3,8,"Homogeneous","FisherLSD",0.628074385122975,0.0496900619876025
3,8,"Homogeneous","GamesHowell",0.596980603879224,0.0529894021195761
3,8,"Homogeneous","DunnettT3",0.566686662667466,0.0460907818436313
3,8,"Homogeneous","TamhaneT2",0.55878824235153,0.0447910417916417
3,8,"Homogeneous","Sidak",0.599180163967207,0.0428914217156569
3,8,"Moderate","TukeyHSD",0.636472705458908,0.0554889022195561
3,8,"Moderate","Scheffe",0.591581683663267,0.0457908418316337
